Category ID,Category Path,Standard Fee Rate,Basic Fee Rate,Premium Fee Rate,Anchor Fee Rate
63547,Antiques > Decorative Arts > Lamps,10%,9.15%,9.15%,9.15%
1211,Antiques > Decorative Arts > Metalware,10%,9.15%,9.15%,9.15%
20089,Antiques > Decorative Arts > Mirrors,10%,9.15%,9.15%,9.15%
40024,Antiques > Decorative Arts > Picture Frames,10%,9.15%,9.15%,9.15%
1218,Antiques > Decorative Arts > Toleware,10%,9.15%,9.15%,9.15%
37942,Antiques > Decorative Arts > Woodenware > Bowls,10%,9.15%,9.15%,9.15%
37943,Antiques > Decorative Arts > Woodenware > Boxes,10%,9.15%,9.15%,9.15%
162998,Antiques > Decorative Arts > Woodenware > Carved Figures,10%,9.15%,9.15%,9.15%
37944,Antiques > Decorative Arts > Woodenware > Trays,10%,9.15%,9.15%,9.15%
1219,Antiques > Decorative Arts > Woodenware > Other Antique Woodenware,10%,9.15%,9.15%,9.15%
171172,Antiques > Decorative Arts > Price Guides & Publications,10%,9.15%,9.15%,9.15%
73467,Antiques > Decorative Arts > Other Antique Decorative Arts,10%,9.15%,9.15%,9.15%
163007,Antiques > Ethnographic > African > Jewelry,10%,9.15%,9.15%,9.15%
37946,Antiques > Ethnographic > African > Masks,10%,9.15%,9.15%,9.15%
37947,Antiques > Ethnographic > African > Sculptures & Statues,10%,9.15%,9.15%,9.15%
4171,Antiques > Ethnographic > African > Other African Antiques,10%,9.15%,9.15%,9.15%
4170,Antiques > Ethnographic > Latin American,10%,9.15%,9.15%,9.15%
4173,Antiques > Ethnographic > Native American,10%,9.15%,9.15%,9.15%
4172,Antiques > Ethnographic > Pacific Islands & Oceania,10%,9.15%,9.15%,9.15%
171173,Antiques > Ethnographic > Price Guides & Publications,10%,9.15%,9.15%,9.15%
2204,Antiques > Ethnographic > Other Ethnographic Antiques,10%,9.15%,9.15%,9.15%
98437,Antiques > Furniture > Armoires & Wardrobes > Pre-1800,10%,9.15%,9.15%,9.15%
